City,Country,Date,Max Temp,Humidity,Cloudiness,Wind Speed,Lat,Lng
Maltahohe,NA,1561649081,66.91,21,0,16.96,-24.83,16.98
Prince Rupert,CA,1561649082,53.6,100,90,2.71,54.32,-130.32
Kaspiyskiy,RU,1561648783,88.87,36,33,13.44,45.39,47.37
Bubaque,GW,1561649082,80.77,80,86,9.04,11.28,-15.83
Astana,KZ,1561649083,60.8,63,75,13.42,51.13,71.43
Ostrovnoy,RU,1561649083,47.83,94,100,11.74,68.05,39.51
Prieska,ZA,1561649083,67.63,17,0,17.36,-29.67,22.74
Nikolskoye,RU,1561649084,66.0,67,90,6.71,59.7,30.79
Lompoc,US,1561648822,64.99,87,90,4.7,34.64,-120.46
East Wenatchee Bench,US,1561649084,59.0,76,1,1.9,47.43,-120.28
Aller,GB,1561649085,79.0,47,0,19.46,51.06,-2.86
Ambilobe,MG,1561649088,74.29,82,11,3.83,-13.19,49.05
Qaqortoq,GL,1561649088,50.0,71,75,10.29,60.72,-46.03
Ringe,NL,1561649089,75.0,67,90,12.75,52.6,6.92
Guerrero Negro,MX,1561649089,63.67,85,4,9.75,27.97,-114.04
Phultala,BD,1561649092,86.71,72,100,14.25,22.7,89.52
Mount Gambier,AU,1561649093,59.0,54,35,19.46,-37.83,140.78
Rantepao,ID,1561649093,61.87,98,88,2.42,-2.97,119.9
Laguna,BZ,1561649093,84.2,79,40,4.7,16.17,-88.94
Albany,US,1561648812,81.0,47,40,3.36,42.65,-73.75
Bischofswerda,DE,1561649097,81.0,26,0,14.99,51.13,14.18
San Cristobal,HN,1561649097,77.35,60,96,7.18,14.68,-86.92
Beruwala,LK,1561649101,83.29,80,0,17.54,6.48,79.98
Salta,AR,1561648863,53.6,66,0,3.36,-24.79,-65.41
Bambous Virieux,MU,1561649102,73.4,78,40,10.29,-20.34,57.76
Avera,US,1561649102,87.01,55,1,5.82,33.19,-82.53
Chuy,UY,1561649102,52.33,62,0,9.26,-33.69,-53.46
Abbeville,FR,1561649103,82.99,64,0,13.87,50.11,1.83
Husavik,CA,1561649103,73.0,44,38,5.01,50.56,-96.99
Bosaso,SO,1561649103,88.15,71,52,6.29,11.28,49.18
Ygatimi,PY,1561649104,71.77,66,6,4.92,-24.08,-55.5
Chokurdakh,RU,1561649104,46.03,55,0,11.07,70.62,147.9
Terrace,CA,1561649104,59.0,82,40,2.24,54.52,-128.61
Salalah,OM,1561649104,84.2,83,75,10.29,17.01,54.1
Kloulklubed,PW,1561649105,78.8,88,90,12.75,7.04,134.26
Iqaluit,CA,1561649105,50.0,71,20,5.82,63.75,-68.52
Dunedin,NZ,1561649105,46.0,74,100,8.01,-45.87,170.5
Klyuchi,RU,1561649105,67.81,66,24,18.72,52.25,79.17
Touros,BR,1561649106,81.13,80,28,21.47,-5.2,-35.46
Zurrieq,MT,1561649106,87.8,45,20,10.29,35.83,14.47
Port Lincoln,AU,1561649106,62.95,61,67,27.18,-34.72,135.86
Linxia,CN,1561649107,48.73,83,99,7.63,35.6,103.21
Isabela,PH,1561649107,82.57,79,100,13.78,10.2,122.99
Butaritari,KI,1561649107,83.11,76,37,12.01,3.07,172.79
Donetsk,UA,1561649017,81.49,39,0,9.95,48.02,37.8
Vanimo,PG,1561649111,83.83,71,95,2.84,-2.67,141.3
Rehoboth,NA,1561649111,73.03,15,0,16.78,-23.31,17.08
Sokoni,CD,1561649111,72.49,32,0,4.56,-12.89,28.78
Vallenar,CL,1561649111,62.05,45,32,3.42,-28.58,-70.76
Tuktoyaktuk,CA,1561649112,37.4,86,90,2.24,69.44,-133.03
Gorontalo,ID,1561648860,76.09,92,100,6.17,0.54,123.06
Riberalta,BO,1561649112,82.4,74,40,5.82,-11.0,-66.08
Cap Malheureux,MU,1561649115,73.4,78,40,10.29,-19.98,57.61
Havre-Saint-Pierre,CA,1561649116,53.6,100,90,12.75,50.23,-63.6
Manzhouli,CN,1561649116,60.07,62,100,22.01,49.6,117.43
Nizip,TR,1561649117,99.0,35,0,11.41,37.01,37.79
Agadez,NE,1561649117,102.2,21,1,3.36,16.97,7.99
Ha Tinh,VN,1561648841,83.83,65,99,3.15,18.33,105.9
Maryborough,AU,1561649120,57.37,94,0,5.26,-25.54,152.7
Cururupu,BR,1561649120,88.33,55,100,7.45,-1.82,-44.87
Rundu,NA,1561649121,78.8,14,0,2.24,-17.91,19.77
Pavlodar,KZ,1561649121,60.8,77,75,15.66,52.28,76.96
Deputatskiy,RU,1561649122,55.03,42,4,2.73,69.3,139.9
Cairns,AU,1561649096,69.8,73,75,11.41,-16.92,145.77
Upernavik,GL,1561649131,33.25,84,92,6.69,72.79,-56.15
Saint George,GR,1561649132,91.99,27,20,12.75,39.45,22.34
Oakham,GB,1561649132,73.99,72,40,16.11,52.67,-0.73
Tezu,IN,1561649132,71.77,98,100,5.26,27.93,96.16
Komsomolskiy,RU,1561649136,56.65,66,97,10.36,67.55,63.78
Polovinnoye,RU,1561649136,57.73,70,28,4.07,54.79,65.99
Cidreira,BR,1561649136,61.51,64,0,10.58,-30.17,-50.22
Kroya,ID,1561649136,75.55,77,0,3.96,-6.5,108.06
Adrar,DZ,1561649137,114.8,4,0,8.05,27.87,-0.29
Dhidhdhoo,MV,1561648867,84.01,74,27,12.35,6.88,73.1
Port-Gentil,GA,1561649137,82.4,69,40,16.11,-0.72,8.78
Georgetown,GY,1561649138,77.0,94,75,9.17,6.8,-58.16
Pevek,RU,1561649138,34.51,82,100,24.32,69.7,170.27
Bhiwani,IN,1561649138,102.37,21,25,14.34,28.79,76.14
Una,IN,1561649139,96.79,19,29,11.68,31.47,76.27
Vokhma,RU,1561649139,63.85,53,1,6.93,58.93,46.76
Grand Baie,MU,1561649139,73.4,78,40,10.29,-20.02,57.58
Saiha,IN,1561649140,76.99,92,100,1.1,22.49,92.98
Cherskiy,RU,1561649140,47.83,52,100,12.12,68.75,161.3
Livingston,US,1561649140,87.8,62,20,3.36,32.58,-88.19
Sola,TZ,1561649140,76.99,48,100,4.05,-3.17,33.8
Kahului,US,1561649141,73.4,73,1,5.91,20.89,-156.47
Isangel,VU,1561649141,75.55,83,100,9.24,-19.55,169.27
Pisco,PE,1561649117,71.6,30,90,4.7,-13.71,-76.2
Zlitan,LY,1561649143,82.03,60,0,16.2,32.47,14.57
Maragogi,BR,1561649143,78.43,78,80,11.18,-9.01,-35.22
Grindavik,IS,1561649143,62.6,100,90,20.8,63.84,-22.43
Chiclana,AR,1561649143,50.89,49,100,14.05,-35.73,-61.75
Casino,AU,1561649144,59.0,100,90,4.7,-28.86,153.05
Lata,IN,1561649144,44.05,78,82,2.98,30.78,78.62
Mar del Plata,AR,1561649144,34.15,45,100,10.22,-46.43,-67.52
Baraboo,US,1561648847,84.0,61,1,4.7,43.47,-89.74
Gunnedah,AU,1561649145,51.01,81,0,8.05,-30.98,150.25
Lillooet,CA,1561649145,55.4,100,90,2.24,50.69,-121.94
Avarua,CK,1561649145,71.6,78,97,5.82,-21.21,-159.78
Saint-Philippe,CA,1561649146,79.0,69,1,11.41,45.36,-73.48
San Quintin,PH,1561649146,73.93,99,100,3.53,17.54,120.52
Nizwa,OM,1561649146,95.71,21,6,7.9,22.93,57.53
Hokitika,NZ,1561649150,43.87,54,0,4.16,-42.72,170.96
Pak Phanang,TH,1561649150,80.05,84,100,4.43,8.35,100.2
Yining,CN,1561649154,76.45,91,6,2.44,29.04,114.56
Jamestown,AU,1561649154,56.83,65,0,12.53,-33.21,138.6
Qaanaaq,GL,1561649154,38.65,54,100,2.01,77.48,-69.36
Ust-Kulom,RU,1561649155,64.39,38,18,3.71,61.69,53.69
Lorengau,PG,1561649155,80.23,82,99,7.49,-2.02,147.27
College,US,1561649155,60.01,62,40,4.7,64.86,-147.8
Miri,NG,1561649155,73.93,83,97,5.1,10.31,9.75
Tilichiki,RU,1561649156,42.97,95,100,1.1,60.47,166.1
Hambantota,LK,1561649157,82.4,88,0,10.29,6.12,81.12
Miandrivazo,MG,1561649157,76.45,56,1,5.88,-19.53,45.46
Fort Myers Beach,US,1561649157,90.0,66,1,6.69,26.45,-81.95
Saint-Michel-des-Saints,CA,1561649157,73.0,7,0,7.63,46.68,-73.92
Bowen,AU,1561649158,69.01,88,90,19.46,-20.01,148.25
Olinda,AU,1561649158,57.0,66,0,24.16,-37.84,145.39
Buraydah,SA,1561649158,111.2,12,0,9.17,26.33,43.97
San Patricio,PY,1561649158,62.59,70,0,7.2,-26.98,-56.83
Lavrentiya,RU,1561649159,46.03,97,100,5.7,65.58,-170.99
Dicabisagan,PH,1561649159,74.47,99,100,1.59,17.08,122.42
Srednekolymsk,RU,1561649159,51.07,51,100,13.38,67.46,153.71
Rocha,UY,1561648948,51.43,60,0,8.9,-34.48,-54.34
Saskylakh,RU,1561649160,55.57,41,100,4.05,71.97,114.09
Yerbogachen,RU,1561649160,66.01,53,90,1.54,61.28,108.01
Leningradskiy,RU,1561649160,33.07,98,100,5.06,69.38,178.42
Teguldet,RU,1561649161,69.25,64,12,4.92,57.31,88.17
Nizhniy Odes,RU,1561649161,64.03,37,81,5.44,63.64,54.86
Carnarvon,ZA,1561649164,62.95,14,0,24.25,-30.97,22.13
Sompeta,IN,1561649164,85.09,74,100,6.91,18.93,84.6
Victoria,BN,1561649165,78.8,88,90,3.36,5.28,115.24
Trelew,AR,1561649103,47.47,51,0,9.31,-43.25,-65.31
Mikhaylovka,RU,1561649165,54.67,94,67,8.43,52.96,103.29
Klaksvik,FO,1561649165,51.8,100,100,10.29,62.23,-6.59
Zemio,CF,1561649166,78.79,89,77,0.38,5.02,25.13
Dukat,AL,1561649166,81.0,54,16,1.01,40.25,19.57
Longyearbyen,NO,1561649166,39.2,80,75,5.82,78.22,15.63
Harwich,US,1561649166,75.99,78,75,4.7,41.69,-70.08
Lulea,SE,1561649166,64.4,27,0,21.92,65.58,22.15
Roswell,US,1561649135,80.01,57,1,16.11,33.39,-104.52
Nome,US,1561649170,86.0,74,75,4.12,30.04,-94.42
Roald,NO,1561649171,55.4,87,75,11.41,62.58,6.12
Vila Franca do Campo,PT,1561649171,66.2,63,20,13.87,37.72,-25.43
Khasan,RU,1561649171,59.35,94,94,5.59,42.43,130.64
Fengcheng,CN,1561649171,62.23,86,30,2.37,40.45,124.07
Flinders,AU,1561649175,52.0,100,5,5.82,-34.58,150.85
Talisay,PH,1561649175,84.2,70,75,4.7,10.25,123.85
Norman Wells,CA,1561649175,53.6,66,40,6.93,65.28,-126.83
Karratha,AU,1561649176,71.41,69,26,14.23,-20.74,116.85
Astoria,US,1561649104,60.01,76,90,3.36,46.19,-123.83
Rio Esteban,HN,1561649179,86.0,79,20,11.41,15.83,-86.3
Katobu,ID,1561649180,71.95,83,0,5.64,-4.94,122.53
Hamilton,CA,1561649157,84.0,57,75,2.24,43.26,-79.87
Kommunisticheskiy,RU,1561649183,60.43,47,81,2.98,61.68,64.48
Whitecourt,CA,1561649183,50.0,100,75,2.24,54.14,-115.68
Tres Picos,MX,1561649184,73.57,81,78,8.16,16.23,-93.58
Vardo,US,1561649184,88.0,54,20,5.82,39.62,-77.74
Muisne,EC,1561649184,78.8,94,75,5.82,0.61,-80.02
Melendugno,IT,1561649188,89.6,69,0,13.87,40.27,18.34
Goderich,CA,1561649188,80.01,55,0,5.99,43.74,-81.71
La Palma,CO,1561649188,83.47,49,0,3.71,5.36,-74.39
La Rioja,AR,1561649189,56.29,27,0,3.6,-29.41,-66.86
Monrovia,LR,1561649189,84.2,79,75,9.17,6.33,-10.8
Faanui,PF,1561649192,79.51,72,6,3.44,-16.48,-151.75
Richards Bay,ZA,1561649193,72.13,73,0,28.5,-28.77,32.06
Borodino,RU,1561649193,66.37,80,0,4.25,55.9,94.89
Vuktyl,RU,1561649193,64.93,39,97,2.64,63.86,57.31
Doka,SD,1561649193,91.21,46,95,7.9,13.52,35.76
Westport,US,1561649197,88.0,51,20,9.17,41.14,-73.36
Ferzikovo,RU,1561649197,64.4,93,75,6.71,54.52,36.76
Tuatapere,NZ,1561649197,44.01,90,100,5.01,-46.13,167.69
Fort Nelson,CA,1561649198,48.2,87,90,4.7,58.81,-122.69
Ouadda,CF,1561649198,82.75,66,11,3.56,8.07,22.4
Bandarbeyla,SO,1561649198,89.59,40,85,24.56,9.49,50.81
Biak,ID,1561649198,65.11,97,100,4.59,-0.91,122.88
Saint-Pierre,FR,1561649199,96.8,46,0,16.11,48.95,4.24
Jitauna,BR,1561649200,81.67,44,9,5.97,-14.02,-39.89
Ahuimanu,US,1561649200,78.8,83,90,6.93,21.44,-157.84
Lubao,CD,1561649200,92.11,22,0,4.81,-5.39,25.75
Maceio,BR,1561649201,80.6,61,75,21.92,-9.67,-35.74
Constitucion,MX,1561649201,71.01,56,5,5.82,23.99,-104.67
Thinadhoo,MV,1561649201,83.65,69,53,3.24,0.53,72.93
Mayo,CA,1561649202,51.8,37,20,4.7,63.59,-135.9
Punta,PH,1561649202,84.99,88,75,6.93,14.18,121.12
Te Anau,NZ,1561649202,43.51,80,83,6.4,-45.41,167.72
Piterka,RU,1561649203,75.01,51,100,7.07,50.68,47.44
Ossora,RU,1561649206,44.59,94,100,2.06,59.24,163.07
Aklavik,CA,1561649206,48.2,57,40,2.24,68.22,-135.01
Norden,DE,1561649207,64.99,67,90,12.75,53.59,7.21
Ust-Kuyga,RU,1561649207,66.55,47,1,2.33,70.0,135.55
Mindszent,HU,1561649208,93.2,44,20,16.11,46.52,20.19
Ust-Nera,RU,1561649208,48.19,41,0,4.52,64.57,143.24
Leopold,US,1561649208,84.0,73,1,3.36,38.1,-86.58
Haines Junction,CA,1561649209,54.49,68,0,2.46,60.75,-137.51
Ust-Omchug,RU,1561649209,44.59,71,10,6.89,61.13,149.63
Kaitangata,NZ,1561649209,39.99,80,87,3.0,-46.28,169.85
Sao Joao da Barra,BR,1561649212,86.0,48,0,6.93,-21.64,-41.05
Dingle,PH,1561649213,76.63,82,100,5.19,11.0,122.67
Portland,US,1561649139,70.0,88,90,5.82,43.66,-70.25
Nizhniy Kuranakh,RU,1561649213,55.03,67,77,3.74,58.84,125.49
Poya,NC,1561649213,70.69,88,100,26.53,-21.35,165.16
Mareeba,AU,1561649214,69.8,73,75,11.41,-16.99,145.42
Geraldton,CA,1561649223,71.6,60,75,4.7,49.72,-86.95
Mahebourg,MU,1561649223,73.4,78,40,10.29,-20.41,57.7
Svetlaya,RU,1561649224,43.69,96,100,4.68,46.54,138.33
Muroto,JP,1561649225,70.33,96,100,2.42,33.37,134.14
Springbok,ZA,1561649225,59.71,47,0,16.64,-29.67,17.88
Byron Bay,AU,1561649229,59.0,100,40,5.82,-28.65,153.62
Yantai,CN,1561649230,79.0,52,46,8.28,37.53,121.39
Dudinka,RU,1561649230,46.4,81,75,2.24,69.41,86.18
Jiwani,PK,1561649234,86.71,81,0,16.98,25.05,61.74
Algiers,US,1561649234,90.0,66,75,8.05,29.94,-90.04
Togur,RU,1561649235,62.77,91,91,6.87,58.36,82.83
Neiafu,TO,1561649235,73.4,83,40,5.82,-18.65,-173.98
Airai,TL,1561649236,66.01,77,3,5.97,-8.93,125.41
Mizdah,LY,1561649237,95.53,15,0,18.32,31.45,12.98
Karpathos,GR,1561649237,80.6,78,20,28.86,35.51,27.21
Ilulissat,GL,1561649237,42.8,60,75,5.82,69.22,-51.1
Ponta do Sol,BR,1561649238,76.27,44,29,6.17,-20.63,-46.0
Torbay,CA,1561649239,66.0,51,40,6.93,47.66,-52.73
Keti Bandar,PK,1561649240,84.37,85,0,22.26,24.14,67.45
Katangli,RU,1561649240,44.41,81,31,4.38,51.71,143.23
Labuhan,ID,1561649241,74.47,91,2,1.07,-2.54,115.51
Craig,US,1561649241,66.2,39,1,8.05,40.52,-107.55
Ayabaca,PE,1561649241,80.05,44,0,5.59,-4.64,-79.72
Never,RU,1561649242,56.11,67,100,0.27,53.98,124.16
Berlevag,NO,1561649242,48.2,66,40,23.04,70.86,29.09
Ancud,CL,1561649243,39.2,93,90,6.93,-41.87,-73.83
Carutapera,BR,1561649107,85.27,70,57,8.55,-1.2,-46.02
Benjamin Constant,BR,1561649243,78.8,83,90,8.05,-4.38,-70.03
Rio Gallegos,AR,1561649243,30.2,74,20,12.75,-51.62,-69.22
Kodiak,US,1561649245,84.99,74,1,11.41,39.95,-94.76
Cabedelo,BR,1561649248,80.6,83,75,13.87,-6.97,-34.84
Asyut,EG,1561649251,107.6,13,0,11.41,27.18,31.19
Tautira,PF,1561649253,75.2,83,1,2.24,-17.73,-149.15
Placido de Castro,BR,1561649257,80.41,89,0,4.92,-10.34,-67.19
Slave Lake,CA,1561649257,57.2,82,90,3.96,55.28,-114.77
Tura,RU,1561649258,67.81,67,100,3.62,64.27,100.22
Nanortalik,GL,1561649259,39.37,94,100,8.61,60.14,-45.24
Karakol,KG,1561649260,60.43,58,0,0.87,42.49,78.39
Caramoran,PH,1561649260,82.21,81,100,13.85,13.98,124.13
Katsuura,JP,1561649261,75.2,94,75,3.36,33.93,134.5
Merrill,US,1561649144,48.99,61,75,6.93,42.03,-121.6
Bom Jesus da Lapa,BR,1561649261,87.97,22,0,4.12,-13.25,-43.41
Lexington Park,US,1561649262,91.4,58,1,3.36,38.26,-76.45
Sechura,PE,1561649208,64.75,87,3,9.66,-5.56,-80.82
Port Blair,IN,1561649266,84.01,80,100,21.18,11.67,92.75
Sisimiut,GL,1561649267,36.85,84,0,29.06,66.94,-53.67
La Ronge,CA,1561649267,59.0,72,40,6.93,55.1,-105.3
Kalianget,ID,1561649268,78.8,69,20,0.76,-7.35,109.91
Lahij,YE,1561649268,95.35,43,29,10.71,13.06,44.88
Gazojak,TM,1561649268,91.39,26,12,22.62,41.19,61.4
Mahajanga,MG,1561649268,80.6,69,20,4.7,-15.72,46.32
Alexandria,RO,1561649269,93.99,33,0,3.0,43.97,25.33
Maraa,BR,1561649269,86.53,59,0,5.79,-1.83,-65.37
Nelson Bay,AU,1561649269,55.0,93,90,2.24,-32.72,152.14
Panubigan,PH,1561649269,75.91,81,100,2.44,7.13,122.25
Kabo,CF,1561649270,85.81,63,21,3.29,7.69,18.62
Hofn,IS,1561649270,53.6,87,90,4.7,64.25,-15.21
Kikwit,CD,1561649270,95.53,20,1,1.12,-5.04,18.82
Cabo San Lucas,MX,1561649032,90.0,52,40,9.17,22.89,-109.91
Ahipara,NZ,1561649271,57.19,77,0,11.05,-35.17,173.16
Ilici,IT,1561649271,96.01,41,0,4.7,41.05,14.91
Tres Arroyos,AR,1561649281,48.37,51,100,24.02,-38.38,-60.28
Datong,CN,1561649285,58.99,79,100,4.72,40.09,113.3
Sibu,MY,1561649285,77.0,94,75,5.82,2.29,111.83
Burnie,AU,1561649285,45.0,96,96,5.01,-41.05,145.91
Hami,CN,1561649285,79.15,13,0,7.27,42.84,93.51
Sudislavl,RU,1561649286,64.93,53,62,8.79,57.88,41.71
Heihe,RU,1561649286,55.4,100,20,4.47,50.24,127.51
Kenora,CA,1561649286,69.8,60,30,3.87,49.76,-94.48
Mackenzie,CA,1561649286,59.0,67,75,8.05,55.34,-123.09
Coquimbo,CL,1561649287,53.6,76,0,2.24,-29.95,-71.34
Nishihara,JP,1561649287,78.01,88,1,16.11,35.74,139.53
Corumba,BR,1561649287,68.0,82,75,11.41,-19.0,-57.65
Sinnamary,GF,1561649287,80.77,80,100,14.41,5.38,-52.96
Marzuq,YE,1561649291,95.71,10,63,20.15,14.4,46.47
Cockburn Town,TC,1561649292,82.57,76,100,15.66,21.46,-71.14
Sarkand,KZ,1561649292,73.75,24,0,8.55,45.41,79.91
Namtsy,RU,1561649292,60.8,67,0,6.71,62.72,129.66
Souillac,FR,1561649292,102.99,34,0,11.41,45.6,-0.6
Cayenne,GF,1561649293,84.2,74,75,5.82,4.94,-52.33
Bar Harbor,US,1561649293,64.99,82,90,3.58,44.39,-68.2
Axim,GH,1561649293,78.25,82,77,13.53,4.87,-2.24
Salvador,BR,1561649296,82.4,61,20,10.29,-12.98,-38.48
Smithers,CA,1561649297,51.8,100,75,2.24,54.78,-127.17
Mont-Dore,NC,1561649297,66.2,100,100,3.36,-22.23,166.53
Marawi,PH,1561649297,80.01,87,100,4.0,8.0,124.29
Santana do Mundau,BR,1561649298,80.6,61,75,21.92,-9.17,-36.22
Sidlaghatta,IN,1561649298,75.2,78,40,12.75,13.39,77.86
San Carlos de Bariloche,AR,1561649298,44.6,56,40,16.11,-41.13,-71.31
Winnemucca,US,1561649299,62.01,38,1,2.75,40.97,-117.74
Lubango,AO,1561649133,75.2,37,0,11.41,-14.92,13.49
Davenport,US,1561649211,84.99,62,1,3.36,41.52,-90.58
Diego de Almagro,CL,1561649300,61.51,47,0,5.5,-26.39,-70.05
Honiara,SB,1561649300,75.2,94,75,0.74,-9.43,159.96
Port Augusta,AU,1561649300,61.0,76,0,9.17,-32.49,137.76
Mackay,CA,1561649300,50.0,100,90,2.24,53.65,-115.58
Svetlogorsk,RU,1561649301,60.8,59,75,6.71,53.14,59.15
Sagana,KE,1561649304,63.49,87,80,4.81,-0.67,37.21
Teya,MX,1561649305,89.6,59,75,11.41,21.05,-89.07
Quibdo,CO,1561649305,80.6,88,75,2.37,5.69,-76.66
Humen,CN,1561649305,88.0,89,20,8.95,22.82,113.67
Florianopolis,BR,1561649305,64.99,77,75,5.82,-27.6,-48.55
Gamba,CN,1561649306,46.75,60,15,6.11,28.28,88.52
Bilibino,RU,1561649306,42.79,78,100,6.62,68.06,166.44
Redmond,US,1561649306,57.99,82,90,6.93,47.67,-122.12
Segezha,RU,1561649309,56.47,90,100,0.72,63.74,34.31
Staryy Nadym,RU,1561649310,53.05,56,2,8.52,65.61,72.68
Mokolo,CM,1561649310,84.2,70,40,14.99,10.74,13.8
Daru,PG,1561649310,75.73,90,49,9.06,-9.07,143.21
Inta,RU,1561649310,61.69,57,99,8.23,66.04,60.13
San Lorenzo,HN,1561649311,86.0,58,0,2.71,13.43,-87.45
Umm Kaddadah,SD,1561649311,98.59,20,16,3.69,13.6,26.69
Koslan,RU,1561649312,63.13,39,100,5.75,63.46,48.9
Ixtapa,MX,1561649315,86.0,45,90,7.78,20.71,-105.21
Urengoy,RU,1561649315,52.51,56,93,12.03,65.96,78.37
Kruisfontein,ZA,1561649316,60.43,33,0,3.09,-34.0,24.73
Itamaraca,BR,1561649316,84.2,62,40,14.99,-7.75,-34.83
Margate,AU,1561649316,57.0,62,0,11.41,-43.03,147.26
Charlestown,US,1561649317,86.0,88,40,4.16,41.38,-71.64
Flin Flon,CA,1561649317,64.4,63,40,4.7,54.77,-101.88
